atc_code5,atc_code4,atc_code3,atc_code2,atc_code1,atc_desc5,atc_desc4,atc_desc3,atc_desc2,atc_desc1
J01DI01,J01DI,J01D,J01,J,ceftobiprole medocaril,Other cephalosporins and penems,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01DI02,J01DI,J01D,J01,J,ceftaroline fosamil,Other cephalosporins and penems,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01DI03,J01DI,J01D,J01,J,faropenem,Other cephalosporins and penems,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01DI54,J01DI,J01D,J01,J,ceftolozane and enzyme inhibitor,Other cephalosporins and penems,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
R07AB01,R07AB,R07A,R07,R,doxapram,Respiratory stimulants,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,RESPIRATORY SYSTEM
R07AB02,R07AB,R07A,R07,R,nikethamide,Respiratory stimulants,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,RESPIRATORY SYSTEM
R07AB03,R07AB,R07A,R07,R,pentetrazol,Respiratory stimulants,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,RESPIRATORY SYSTEM
R07AB04,R07AB,R07A,R07,R,etamivan,Respiratory stimulants,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,RESPIRATORY SYSTEM
R07AB05,R07AB,R07A,R07,R,bemegride,Respiratory stimulants,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,RESPIRATORY SYSTEM
R07AB06,R07AB,R07A,R07,R,prethcamide,Respiratory stimulants,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,RESPIRATORY SYSTEM
R07AB07,R07AB,R07A,R07,R,almitrine,Respiratory stimulants,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,RESPIRATORY SYSTEM
R07AB08,R07AB,R07A,R07,R,dimefline,Respiratory stimulants,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,RESPIRATORY SYSTEM
R07AB09,R07AB,R07A,R07,R,mepixanox,Respiratory stimulants,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,RESPIRATORY SYSTEM
R07AB52,R07AB,R07A,R07,R,"nikethamide, combinations",Respiratory stimulants,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,RESPIRATORY SYSTEM
R07AB53,R07AB,R07A,R07,R,"pentetrazol, combinations",Respiratory stimulants,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,RESPIRATORY SYSTEM
L01XD01,L01XD,L01X,L01,L,porfimer sodium,Sensitizers used in photodynamic/radiation therapy,OTHER ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01XD03,L01XD,L01X,L01,L,methyl aminolevulinate,Sensitizers used in photodynamic/radiation therapy,OTHER ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01XD04,L01XD,L01X,L01,L,aminolevulinic acid,Sensitizers used in photodynamic/radiation therapy,OTHER ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01XD05,L01XD,L01X,L01,L,temoporfin,Sensitizers used in photodynamic/radiation therapy,OTHER ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01XD06,L01XD,L01X,L01,L,efaproxiral,Sensitizers used in photodynamic/radiation therapy,OTHER ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
C01CA01,C01CA,C01C,C01,C,etilefrine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA02,C01CA,C01C,C01,C,isoprenaline,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA03,C01CA,C01C,C01,C,norepinephrine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA04,C01CA,C01C,C01,C,dopamine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA05,C01CA,C01C,C01,C,norfenefrine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA06,C01CA,C01C,C01,C,phenylephrine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA07,C01CA,C01C,C01,C,dobutamine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA08,C01CA,C01C,C01,C,oxedrine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA09,C01CA,C01C,C01,C,metaraminol,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA10,C01CA,C01C,C01,C,methoxamine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA11,C01CA,C01C,C01,C,mephentermine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA12,C01CA,C01C,C01,C,dimetofrine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA13,C01CA,C01C,C01,C,prenalterol,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA14,C01CA,C01C,C01,C,dopexamine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA15,C01CA,C01C,C01,C,gepefrine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA16,C01CA,C01C,C01,C,ibopamine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA17,C01CA,C01C,C01,C,midodrine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA18,C01CA,C01C,C01,C,octopamine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA19,C01CA,C01C,C01,C,fenoldopam,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA21,C01CA,C01C,C01,C,cafedrine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA22,C01CA,C01C,C01,C,arbutamine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA23,C01CA,C01C,C01,C,theodrenaline,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA24,C01CA,C01C,C01,C,epinephrine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA25,C01CA,C01C,C01,C,amezinium metilsulfate,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA26,C01CA,C01C,C01,C,ephedrine,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA27,C01CA,C01C,C01,C,droxidopa,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA30,C01CA,C01C,C01,C,combinations,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
C01CA51,C01CA,C01C,C01,C,"etilefrine, combinations",Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY,CARDIOVASCULAR SYSTEM
M01AC01,M01AC,M01A,M01,M,piroxicam,Oxicams,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,MUSCULO-SKELETAL SYSTEM
M01AC02,M01AC,M01A,M01,M,tenoxicam,Oxicams,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,MUSCULO-SKELETAL SYSTEM
M01AC04,M01AC,M01A,M01,M,droxicam,Oxicams,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,MUSCULO-SKELETAL SYSTEM
M01AC05,M01AC,M01A,M01,M,lornoxicam,Oxicams,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,MUSCULO-SKELETAL SYSTEM
M01AC06,M01AC,M01A,M01,M,meloxicam,Oxicams,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,MUSCULO-SKELETAL SYSTEM
M01AC56,M01AC,M01A,M01,M,"meloxicam, combinations",Oxicams,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,MUSCULO-SKELETAL SYSTEM
L01AA01,L01AA,L01A,L01,L,cyclophosphamide,Nitrogen mustard analogues,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01AA02,L01AA,L01A,L01,L,chlorambucil,Nitrogen mustard analogues,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01AA03,L01AA,L01A,L01,L,melphalan,Nitrogen mustard analogues,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01AA05,L01AA,L01A,L01,L,chlormethine,Nitrogen mustard analogues,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01AA06,L01AA,L01A,L01,L,ifosfamide,Nitrogen mustard analogues,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01AA07,L01AA,L01A,L01,L,trofosfamide,Nitrogen mustard analogues,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01AA08,L01AA,L01A,L01,L,prednimustine,Nitrogen mustard analogues,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01AA09,L01AA,L01A,L01,L,bendamustine,Nitrogen mustard analogues,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
G03GA01,G03GA,G03G,G03,G,chorionic gonadotrophin,Gonadotropins,GONADOTROPINS AND OTHER OVULATION STIMULANTS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GENITO URINARY SYSTEM AND SEX HORMONES
G03GA02,G03GA,G03G,G03,G,human menopausal gonadotrophin,Gonadotropins,GONADOTROPINS AND OTHER OVULATION STIMULANTS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GENITO URINARY SYSTEM AND SEX HORMONES
G03GA03,G03GA,G03G,G03,G,serum gonadotrophin,Gonadotropins,GONADOTROPINS AND OTHER OVULATION STIMULANTS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GENITO URINARY SYSTEM AND SEX HORMONES
G03GA04,G03GA,G03G,G03,G,urofollitropin,Gonadotropins,GONADOTROPINS AND OTHER OVULATION STIMULANTS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GENITO URINARY SYSTEM AND SEX HORMONES
G03GA05,G03GA,G03G,G03,G,follitropin alfa,Gonadotropins,GONADOTROPINS AND OTHER OVULATION STIMULANTS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GENITO URINARY SYSTEM AND SEX HORMONES
G03GA06,G03GA,G03G,G03,G,follitropin beta,Gonadotropins,GONADOTROPINS AND OTHER OVULATION STIMULANTS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GENITO URINARY SYSTEM AND SEX HORMONES
G03GA07,G03GA,G03G,G03,G,lutropin alfa,Gonadotropins,GONADOTROPINS AND OTHER OVULATION STIMULANTS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GENITO URINARY SYSTEM AND SEX HORMONES
G03GA08,G03GA,G03G,G03,G,choriogonadotropin alfa,Gonadotropins,GONADOTROPINS AND OTHER OVULATION STIMULANTS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GENITO URINARY SYSTEM AND SEX HORMONES
G03GA09,G03GA,G03G,G03,G,corifollitropin alfa,Gonadotropins,GONADOTROPINS AND OTHER OVULATION STIMULANTS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GENITO URINARY SYSTEM AND SEX HORMONES
G03GA30,G03GA,G03G,G03,G,combinations,Gonadotropins,GONADOTROPINS AND OTHER OVULATION STIMULANTS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GENITO URINARY SYSTEM AND SEX HORMONES
V08AC01,V08AC,V08A,V08,V,iodoxamic acid,"Watersoluble, hepatotropic X-ray contrast media","X-RAY CONTRAST MEDIA, IODINATED",CONTRAST MEDIA,VARIOUS
V08AC02,V08AC,V08A,V08,V,iotroxic acid,"Watersoluble, hepatotropic X-ray contrast media","X-RAY CONTRAST MEDIA, IODINATED",CONTRAST MEDIA,VARIOUS
V08AC03,V08AC,V08A,V08,V,ioglycamic acid,"Watersoluble, hepatotropic X-ray contrast media","X-RAY CONTRAST MEDIA, IODINATED",CONTRAST MEDIA,VARIOUS
V08AC04,V08AC,V08A,V08,V,adipiodone,"Watersoluble, hepatotropic X-ray contrast media","X-RAY CONTRAST MEDIA, IODINATED",CONTRAST MEDIA,VARIOUS
V08AC05,V08AC,V08A,V08,V,iobenzamic acid,"Watersoluble, hepatotropic X-ray contrast media","X-RAY CONTRAST MEDIA, IODINATED",CONTRAST MEDIA,VARIOUS
V08AC06,V08AC,V08A,V08,V,iopanoic acid,"Watersoluble, hepatotropic X-ray contrast media","X-RAY CONTRAST MEDIA, IODINATED",CONTRAST MEDIA,VARIOUS
V08AC07,V08AC,V08A,V08,V,iocetamic acid,"Watersoluble, hepatotropic X-ray contrast media","X-RAY CONTRAST MEDIA, IODINATED",CONTRAST MEDIA,VARIOUS
V08AC08,V08AC,V08A,V08,V,sodium iopodate,"Watersoluble, hepatotropic X-ray contrast media","X-RAY CONTRAST MEDIA, IODINATED",CONTRAST MEDIA,VARIOUS
V08AC09,V08AC,V08A,V08,V,tyropanoic acid,"Watersoluble, hepatotropic X-ray contrast media","X-RAY CONTRAST MEDIA, IODINATED",CONTRAST MEDIA,VARIOUS
V08AC10,V08AC,V08A,V08,V,calcium iopodate,"Watersoluble, hepatotropic X-ray contrast media","X-RAY CONTRAST MEDIA, IODINATED",CONTRAST MEDIA,VARIOUS
D04AA01,D04AA,D04A,D04,D,thonzylamine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA02,D04AA,D04A,D04,D,mepyramine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA03,D04AA,D04A,D04,D,thenalidine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA04,D04AA,D04A,D04,D,tripelennamine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA09,D04AA,D04A,D04,D,chloropyramine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA10,D04AA,D04A,D04,D,promethazine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA12,D04AA,D04A,D04,D,tolpropamine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA13,D04AA,D04A,D04,D,dimetindene,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA14,D04AA,D04A,D04,D,clemastine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA15,D04AA,D04A,D04,D,bamipine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA16,D04AA,D04A,D04,D,pheniramine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA22,D04AA,D04A,D04,D,isothipendyl,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA32,D04AA,D04A,D04,D,diphenhydramine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA33,D04AA,D04A,D04,D,diphenhydramine methylbromide,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
D04AA34,D04AA,D04A,D04,D,chlorphenoxamine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
R06AA01,R06AA,R06A,R06,R,bromazine,Aminoalkyl ethers,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AA02,R06AA,R06A,R06,R,diphenhydramine,Aminoalkyl ethers,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AA04,R06AA,R06A,R06,R,clemastine,Aminoalkyl ethers,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AA06,R06AA,R06A,R06,R,chlorphenoxamine,Aminoalkyl ethers,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AA07,R06AA,R06A,R06,R,diphenylpyraline,Aminoalkyl ethers,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AA08,R06AA,R06A,R06,R,carbinoxamine,Aminoalkyl ethers,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AA09,R06AA,R06A,R06,R,doxylamine,Aminoalkyl ethers,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AA10,R06AA,R06A,R06,R,trimethobenzamide,Aminoalkyl ethers,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AA52,R06AA,R06A,R06,R,"diphenhydramine, combinations",Aminoalkyl ethers,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AA54,R06AA,R06A,R06,R,"clemastine, combinations",Aminoalkyl ethers,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AA56,R06AA,R06A,R06,R,"chlorphenoxamine, combinations",Aminoalkyl ethers,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AA57,R06AA,R06A,R06,R,"diphenylpyraline, combinations",Aminoalkyl ethers,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
R06AA59,R06AA,R06A,R06,R,"doxylamine, combinations",Aminoalkyl ethers,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
L04AX01,L04AX,L04A,L04,L,azathioprine,Other immunosuppressants,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L04AX02,L04AX,L04A,L04,L,thalidomide,Other immunosuppressants,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L04AX03,L04AX,L04A,L04,L,methotrexate,Other immunosuppressants,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L04AX04,L04AX,L04A,L04,L,lenalidomide,Other immunosuppressants,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L04AX05,L04AX,L04A,L04,L,pirfenidone,Other immunosuppressants,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L04AX06,L04AX,L04A,L04,L,pomalidomide,Other immunosuppressants,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
V03AB01,V03AB,V03A,V03,V,ipecacuanha,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,VARIOUS
V03AB02,V03AB,V03A,V03,V,nalorphine,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,VARIOUS
V03AB03,V03AB,V03A,V03,V,edetates,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,VARIOUS
V03AB04,V03AB,V03A,V03,V,pralidoxime,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,VARIOUS
V03AB05,V03AB,V03A,V03,V,prednisolone and promethazine,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,VARIOUS
V03AB06,V03AB,V03A,V03,V,thiosulfate,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,VARIOUS
V03AB08,V03AB,V03A,V03,V,sodium nitrite,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,VARIOUS
V03AB09,V03AB,V03A,V03,V,dimercaprol,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,VARIOUS
V03AB13,V03AB,V03A,V03,V,obidoxime,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,VARIOUS
V03AB14,V03AB,V03A,V03,V,protamine,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,VARIOUS
V03AB15,V03AB,V03A,V03,V,naloxone,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,VARIOUS
