"atc_code5","atc_desc5","atc_code1","atc_code2","atc_code3","atc_code4","atc_desc1","atc_desc2","atc_desc3","atc_desc4"
"J07AH09","meningococcus B, multicomponent vaccine","J","J07","J07A","J07AH","ANTIINFECTIVES FOR SYSTEMIC USE","VACCINES","BACTERIAL VACCINES","Meningococcal vaccines"
"J07AH10","meningococcus A, purified polysaccharides antigen conjugated","J","J07","J07A","J07AH","ANTIINFECTIVES FOR SYSTEMIC USE","VACCINES","BACTERIAL VACCINES","Meningococcal vaccines"
"A10BA01","phenformin","A","A10","A10B","A10BA","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Biguanides"
"A10BA02","metformin","A","A10","A10B","A10BA","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Biguanides"
"A10BA03","buformin","A","A10","A10B","A10BA","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Biguanides"
"B06AA02","fibrinolysin and desoxyribonuclease","B","B06","B06A","B06AA","BLOOD AND BLOOD FORMING ORGANS","OTHER HEMATOLOGICAL AGENTS","OTHER HEMATOLOGICAL AGENTS","Enzymes"
"B06AA03","hyaluronidase","B","B06","B06A","B06AA","BLOOD AND BLOOD FORMING ORGANS","OTHER HEMATOLOGICAL AGENTS","OTHER HEMATOLOGICAL AGENTS","Enzymes"
"B06AA04","chymotrypsin","B","B06","B06A","B06AA","BLOOD AND BLOOD FORMING ORGANS","OTHER HEMATOLOGICAL AGENTS","OTHER HEMATOLOGICAL AGENTS","Enzymes"
"B06AA07","trypsin","B","B06","B06A","B06AA","BLOOD AND BLOOD FORMING ORGANS","OTHER HEMATOLOGICAL AGENTS","OTHER HEMATOLOGICAL AGENTS","Enzymes"
"B06AA10","desoxyribonuclease","B","B06","B06A","B06AA","BLOOD AND BLOOD FORMING ORGANS","OTHER HEMATOLOGICAL AGENTS","OTHER HEMATOLOGICAL AGENTS","Enzymes"
"B06AA55","streptokinase, combinations","B","B06","B06A","B06AA","BLOOD AND BLOOD FORMING ORGANS","OTHER HEMATOLOGICAL AGENTS","OTHER HEMATOLOGICAL AGENTS","Enzymes"
"C02DA01","diazoxide","C","C02","C02D","C02DA","CARDIOVASCULAR SYSTEM","ANTIHYPERTENSIVES","ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON","Thiazide derivatives"
"D11AX01","minoxidil","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX02","gamolenic acid","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX03","calcium gluconate","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX04","lithium succinate","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX05","magnesium sulfate","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX06","mequinol","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX08","tiratricol","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX09","oxaceprol","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX10","finasteride","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX11","hydroquinone","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX12","pyrithione zinc","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX13","monobenzone","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX16","eflornithine","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX18","diclofenac","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX21","brimonidine","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX22","ivermectin","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX52","gamolenic acid, combinations","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"D11AX57","collagen, combinations","D","D11","D11A","D11AX","DERMATOLOGICALS","OTHER DERMATOLOGICAL PREPARATIONS","OTHER DERMATOLOGICAL PREPARATIONS","Other dermatologicals"
"L01XE01","imatinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE02","gefitinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE03","erlotinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE04","sunitinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE05","sorafenib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE06","dasatinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE07","lapatinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE08","nilotinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE09","temsirolimus","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE10","everolimus","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE11","pazopanib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE12","vandetanib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE13","afatinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE14","bosutinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE15","vemurafenib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE16","crizotinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE17","axitinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE18","ruxolitinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE19","ridaforolimus","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE21","regorafenib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE22","masitinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE23","dabrafenib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE24","ponatinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE25","trametinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE26","cabozantinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE27","ibrutinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE28","ceritinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE29","lenvatinib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE31","nintedanib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE32","cediranib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE33","palbociclib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"L01XE34","tivozanib","L","L01","L01X","L01XE","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","ANTINEOPLASTIC AGENTS","OTHER ANTINEOPLASTIC AGENTS","Protein kinase inhibitors"
"G01AX01","clodantoin","G","G01","G01A","G01AX","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Other antiinfectives and antiseptics"
"G01AX02","inosine","G","G01","G01A","G01AX","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Other antiinfectives and antiseptics"
"G01AX03","policresulen","G","G01","G01A","G01AX","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Other antiinfectives and antiseptics"
"G01AX05","nifuratel","G","G01","G01A","G01AX","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Other antiinfectives and antiseptics"
"G01AX06","furazolidone","G","G01","G01A","G01AX","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Other antiinfectives and antiseptics"
"G01AX09","methylrosaniline","G","G01","G01A","G01AX","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Other antiinfectives and antiseptics"
"G01AX11","povidone-iodine","G","G01","G01A","G01AX","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Other antiinfectives and antiseptics"
"G01AX12","ciclopirox","G","G01","G01A","G01AX","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Other antiinfectives and antiseptics"
"G01AX13","protiofate","G","G01","G01A","G01AX","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Other antiinfectives and antiseptics"
"G01AX14","lactobacillus fermentum","G","G01","G01A","G01AX","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Other antiinfectives and antiseptics"
"G01AX15","copper usnate","G","G01","G01A","G01AX","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Other antiinfectives and antiseptics"
"G01AX16","hexetidine","G","G01","G01A","G01AX","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Other antiinfectives and antiseptics"
"G01AX66","octenidine, combinations","G","G01","G01A","G01AX","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Other antiinfectives and antiseptics"
"N05AE01","oxypertine","N","N05","N05A","N05AE","NERVOUS SYSTEM","PSYCHOLEPTICS","ANTIPSYCHOTICS","Indole derivatives"
"N05AE02","molindone","N","N05","N05A","N05AE","NERVOUS SYSTEM","PSYCHOLEPTICS","ANTIPSYCHOTICS","Indole derivatives"
"N05AE03","sertindole","N","N05","N05A","N05AE","NERVOUS SYSTEM","PSYCHOLEPTICS","ANTIPSYCHOTICS","Indole derivatives"
"N05AE04","ziprasidone","N","N05","N05A","N05AE","NERVOUS SYSTEM","PSYCHOLEPTICS","ANTIPSYCHOTICS","Indole derivatives"
"N05AE05","lurasidone","N","N05","N05A","N05AE","NERVOUS SYSTEM","PSYCHOLEPTICS","ANTIPSYCHOTICS","Indole derivatives"
"H01CC01","ganirelix","H","H01","H01C","H01CC","SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS","PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES","HYPOTHALAMIC HORMONES","Anti-gonadotropin-releasing hormones"
"H01CC02","cetrorelix","H","H01","H01C","H01CC","SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS","PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES","HYPOTHALAMIC HORMONES","Anti-gonadotropin-releasing hormones"
"J05AR01","zidovudine and lamivudine","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR02","lamivudine and abacavir","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR03","tenofovir disoproxil and emtricitabine","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR04","zidovudine, lamivudine and abacavir","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR05","zidovudine, lamivudine and nevirapine","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR06","emtricitabine, tenofovir disoproxil and efavirenz","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR07","stavudine, lamivudine and nevirapine","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR08","emtricitabine, tenofovir disoproxil and rilpivirine","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR09","emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR10","lopinavir and ritonavir","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR11","lamivudine, tenofovir disoproxil and efavirenz","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR12","lamivudine and tenofovir disoproxil","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"N02AC04","dextropropoxyphene","N","N02","N02A","N02AC","NERVOUS SYSTEM","ANALGESICS","OPIOIDS","Diphenylpropylamine derivatives"
"J05AR13","lamivudine, abacavir and dolutegravir","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR14","darunavir and cobicistat","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR15","atazanavir and cobicistat","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR16","lamivudine and raltegravir","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR17","emtricitabine and tenofovir alafenamide","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR18","emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"J05AR19","emtricitabine, tenofovir alafenamide and rilpivirine","J","J05","J05A","J05AR","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIVIRALS FOR SYSTEMIC USE","DIRECT ACTING ANTIVIRALS","Antivirals for treatment of HIV infections, combinations"
"G01AF01","metronidazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"G01AF02","clotrimazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"G01AF04","miconazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"G01AF05","econazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"G01AF06","ornidazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"G01AF07","isoconazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"G01AF08","tioconazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"G01AF11","ketoconazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"G01AF12","fenticonazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"G01AF13","azanidazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"G01AF14","propenidazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"G01AF15","butoconazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"G01AF16","omoconazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
"G01AF17","oxiconazole","G","G01","G01A","G01AF","GENITO URINARY SYSTEM AND SEX HORMONES","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","Imidazole derivatives"
